App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Magic Notes 1,SPORTS,4.1,210555,33M,100000+,Free,0.0,Mature 17+,Role Playing,"September 15, 2021",3.5.7,8.0 and up
HD Browser 9,HEALTH_AND_FITNESS,1.5,657268,24M,10000000+,Free,0.0,Adults only 18+,Role Playing,"November 17, 2021",4.4.4,8.0 and up
Ultimate Editor 4,PERSONALIZATION,3.4,528433,39M,1000000+,Paid,0.99,Everyone,Casual,"November 18, 2021",4.3.3,9.0 and up
Magic Compass 6,DATING,4.7,924143,34M,10000000+,Free,0.0,Everyone 10+,Word,"October 02, 2021",4.3.4,4.0 and up
Easy Cleaner 3,COMMUNICATION,4.5,371626,56M,1000000+,Free,19.99,Everyone 10+,Strategy,"April 18, 2021",2.1.8,9.0 and up
Easy Tracker 2,TRAVEL_AND_LOCAL,2.1,911589,28M,100000+,Free,1.99,Adults only 18+,Sports,"July 13, 2021",2.5.1,5.0 and up
Pro Notes 8,ENTERTAINMENT,4.4,478346,37M,1000+,Free,0.0,Everyone,Role Playing,"September 23, 2021",5.3.6,9.0 and up
Ultimate Planner 7,NEWS_AND_MAGAZINES,1.0,775168,7M,100000+,Free,0.0,Everyone,Adventure,"December 22, 2021",7.5.9,4.0 and up
Super Tracker 9,SHOPPING,1.1,613385,68M,1000+,Paid,0.0,Adults only 18+,Casual,"October 01, 2021",5.0.2,4.0 and up
HD Assistant 9,GAME,3.4,720401,37M,1000+,Free,19.99,Teen,Trivia,"November 10, 2021",9.0.4,8.0 and up
Smart Calculator 6,PRODUCTIVITY,2.5,819822,56M,10000000+,Free,0.0,Everyone 10+,Action,"September 05, 2021",2.3.0,5.0 and up
Cool Camera 5,BUSINESS,2.5,916393,65M,100000000+,Paid,0.0,Everyone 10+,Card,"November 21, 2021",3.9.6,6.0 and up
Perfect Scanner 5,EDUCATION,3.3,279225,65M,100000+,Paid,0.0,Mature 17+,Puzzle,"June 09, 2021",3.3.1,9.0 and up
Awesome Tracker 3,GAME,1.8,20084,47M,1000000+,Free,29.99,Adults only 18+,Casual,"August 08, 2021",3.8.2,8.0 and up
Awesome Analyzer 9,FAMILY,1.8,746094,20M,100000+,Free,29.99,Mature 17+,Casual,"August 01, 2021",5.1.3,9.0 and up
Super Wallet 1,GAME,2.9,592141,19M,10000000+,Free,0.0,Mature 17+,Role Playing,"January 24, 2021",7.6.2,9.0 and up
Cool Tracker 7,GAME,4.0,39911,29M,1000+,Free,0.0,Everyone,Sports,"May 25, 2021",5.0.9,6.0 and up
Quick Scanner 8,PERSONALIZATION,3.5,273359,74M,10000000+,Free,0.0,Everyone 10+,Simulation,"February 25, 2021",1.4.9,5.0 and up
Magic Monitor 8,SOCIAL,2.2,973175,60M,10000+,Free,0.0,Mature 17+,Adventure,"December 24, 2021",9.0.0,4.0 and up
Pro Manager 4,GAME,2.7,911103,18M,10000+,Free,0.99,Everyone,Educational,"September 04, 2021",4.3.1,7.0 and up
Simple Manager 2,SOCIAL,1.7,792348,92M,1000000+,Paid,0.0,Adults only 18+,Arcade,"January 17, 2021",9.8.1,9.0 and up
Pro Player 9,SHOPPING,1.3,395817,35M,10000000+,Free,0.0,Mature 17+,Trivia,"May 18, 2021",9.5.7,7.0 and up
Awesome Assistant 9,LIFESTYLE,4.1,912018,43M,1000000+,Free,0.0,Everyone 10+,Educational,"August 26, 2021",4.1.1,5.0 and up
Super Notes 3,FAMILY,2.1,587285,95M,1000000+,Free,0.99,Mature 17+,Arcade,"November 21, 2021",9.0.6,7.0 and up
Ultimate Camera 2,FINANCE,1.7,980884,91M,10000+,Paid,19.99,Adults only 18+,Racing,"May 18, 2021",3.2.1,9.0 and up
Fantastic Player 9,LIFESTYLE,3.8,342839,11M,1000000+,Paid,0.0,Mature 17+,Casual,"July 24, 2021",6.9.1,6.0 and up
Amazing Cleaner 8,TRAVEL_AND_LOCAL,3.5,372608,49M,10000+,Paid,2.99,Everyone 10+,Adventure,"October 13, 2021",4.9.8,7.0 and up
Premium Analyzer 5,EDUCATION,3.5,367641,38M,1000+,Paid,0.0,Everyone,Word,"January 18, 2021",9.5.3,5.0 and up
Easy Calculator 6,ENTERTAINMENT,1.9,578698,64M,10000000+,Paid,0.0,Everyone 10+,Board,"October 16, 2021",7.0.3,5.0 and up
Super Analyzer 1,FAMILY,1.9,156232,69M,1000000+,Free,0.0,Everyone,Role Playing,"April 05, 2021",5.7.1,6.0 and up
Best Assistant 1,PRODUCTIVITY,1.9,31862,8M,10000+,Free,0.0,Teen,Casino,"February 17, 2021",5.5.4,7.0 and up
Amazing Planner 3,COMMUNICATION,1.7,960384,34M,100000+,Free,0.0,Everyone 10+,Role Playing,"September 14, 2021",9.9.0,7.0 and up
HD Calculator 5,DATING,3.6,513022,48M,1000000+,Paid,4.99,Everyone 10+,Puzzle,"January 04, 2021",3.1.2,4.0 and up
Perfect Camera 1,BUSINESS,4.4,839198,56M,100000000+,Paid,0.0,Adults only 18+,Card,"February 27, 2021",9.8.9,8.0 and up
Cool Player 6,SPORTS,3.9,377511,76M,1000+,Free,0.0,Mature 17+,Sports,"April 24, 2021",2.2.3,5.0 and up
Fantastic Player 5,PHOTOGRAPHY,4.2,643350,65M,1000+,Free,0.0,Everyone,Puzzle,"August 15, 2021",9.2.6,4.0 and up
Cool Cleaner 3,FINANCE,2.6,56491,31M,100000+,Free,0.0,Everyone,Trivia,"November 12, 2021",3.6.6,5.0 and up
Super Wallet 9,PERSONALIZATION,3.6,787725,4M,10000+,Paid,49.99,Adults only 18+,Card,"September 13, 2021",9.1.5,4.0 and up
Premium Calculator 3,FINANCE,2.4,33701,50M,1000000+,Free,0.0,Adults only 18+,Racing,"November 15, 2021",9.1.1,8.0 and up
Ultimate Recorder 4,PERSONALIZATION,3.1,394351,69M,10000+,Free,0.0,Mature 17+,Educational,"December 05, 2021",5.9.9,4.0 and up
Premium Calculator 1,LIFESTYLE,2.9,198147,30M,1000+,Free,1.99,Mature 17+,Word,"July 19, 2021",8.8.1,5.0 and up
Smart Messenger 8,PERSONALIZATION,1.7,550468,88M,10000+,Free,0.0,Everyone 10+,Sports,"October 20, 2021",5.6.5,7.0 and up
Easy Messenger 6,EDUCATION,2.5,532736,59M,1000+,Paid,0.0,Teen,Sports,"October 25, 2021",6.6.2,5.0 and up
Magic Tracker 2,COMMUNICATION,4.9,806537,67M,10000+,Free,0.0,Mature 17+,Action,"October 26, 2021",3.9.8,9.0 and up
Pro Calculator 6,BUSINESS,2.0,671524,75M,100000+,Paid,0.0,Adults only 18+,Casual,"December 17, 2021",8.4.5,6.0 and up
Pro Player 9,BUSINESS,1.5,401230,45M,10000000+,Free,1.99,Mature 17+,Board,"February 21, 2021",1.9.0,6.0 and up
Super Translator 7,EDUCATION,2.7,796194,4M,100000+,Free,2.99,Everyone,Card,"March 02, 2021",4.1.6,9.0 and up
HD Player 5,SHOPPING,4.2,55436,26M,100000+,Free,0.0,Teen,Casino,"January 10, 2021",2.9.1,6.0 and up
Premium Messenger 3,ENTERTAINMENT,3.3,239978,27M,10000000+,Paid,2.99,Everyone 10+,Card,"March 17, 2021",5.3.7,6.0 and up
Easy Camera 2,LIFESTYLE,3.7,288973,46M,10000000+,Free,0.0,Everyone,Simulation,"December 01, 2021",4.5.4,8.0 and up
Magic Analyzer 2,SPORTS,1.8,495394,64M,1000000+,Free,0.0,Everyone,Action,"December 17, 2021",2.7.1,7.0 and up
Amazing Converter 3,SHOPPING,3.5,878493,91M,1000000+,Free,0.0,Teen,Simulation,"August 03, 2021",9.8.2,7.0 and up
HD Messenger 4,NEWS_AND_MAGAZINES,2.3,521131,51M,100000+,Paid,0.0,Everyone 10+,Puzzle,"November 17, 2021",4.7.8,5.0 and up
Quick Camera 1,MEDICAL,4.3,155299,50M,100000+,Free,0.0,Adults only 18+,Adventure,"July 26, 2021",3.4.7,9.0 and up
Smart Converter 7,FINANCE,3.5,261511,6M,1000+,Paid,0.0,Everyone 10+,Puzzle,"March 08, 2021",3.6.7,4.0 and up
Simple Compass 1,PHOTOGRAPHY,1.8,519175,59M,1000+,Free,2.99,Mature 17+,Racing,"April 04, 2021",3.1.9,5.0 and up
Cool Editor 8,PERSONALIZATION,1.3,219790,15M,1000000+,Free,0.0,Everyone,Adventure,"May 22, 2021",7.8.0,5.0 and up
Super Cleaner 1,PRODUCTIVITY,1.2,295148,30M,100000000+,Free,0.0,Mature 17+,Puzzle,"July 14, 2021",3.4.2,5.0 and up
Pro Notes 8,TRAVEL_AND_LOCAL,2.5,670406,42M,100000000+,Free,0.0,Adults only 18+,Casino,"April 16, 2021",1.6.6,5.0 and up
Cool Messenger 6,SPORTS,2.1,732645,37M,1000000+,Free,0.0,Mature 17+,Role Playing,"August 22, 2021",8.4.9,7.0 and up
Cool Messenger 3,EDUCATION,3.6,97766,42M,1000+,Free,0.0,Everyone 10+,Puzzle,"January 17, 2021",5.4.0,4.0 and up
HD Translator 6,COMMUNICATION,3.0,442642,35M,1000+,Free,0.0,Mature 17+,Sports,"September 10, 2021",5.5.0,5.0 and up
Perfect Manager 4,COMMUNICATION,2.1,927101,87M,100000000+,Paid,9.99,Adults only 18+,Casino,"June 16, 2021",7.0.1,7.0 and up
Smart Editor 8,SOCIAL,1.6,95675,6M,10000+,Free,0.0,Adults only 18+,Casino,"October 08, 2021",2.4.9,5.0 and up
Quick Tracker 3,SOCIAL,1.5,656015,68M,10000+,Paid,0.0,Adults only 18+,Sports,"July 06, 2021",7.0.9,6.0 and up
Best Analyzer 3,HEALTH_AND_FITNESS,4.5,162012,18M,1000+,Free,0.0,Everyone 10+,Role Playing,"April 16, 2021",1.0.5,5.0 and up
Fantastic Player 2,HEALTH_AND_FITNESS,2.0,261701,73M,10000+,Free,0.0,Adults only 18+,Strategy,"July 09, 2021",2.0.5,9.0 and up
Pro Cleaner 6,TRAVEL_AND_LOCAL,3.6,606133,29M,10000000+,Free,0.0,Everyone,Adventure,"November 26, 2021",2.5.9,9.0 and up
Cool Camera 1,MEDICAL,4.2,122242,77M,1000000+,Free,9.99,Adults only 18+,Educational,"October 14, 2021",8.1.8,5.0 and up
Cool Planner 2,SOCIAL,3.5,947604,59M,1000000+,Free,0.0,Mature 17+,Arcade,"July 01, 2021",8.9.0,8.0 and up
Super Wallet 9,BUSINESS,4.4,742859,47M,1000+,Free,0.0,Mature 17+,Casual,"October 25, 2021",7.9.5,6.0 and up
Simple Converter 9,HEALTH_AND_FITNESS,2.6,445368,17M,100000+,Free,0.0,Mature 17+,Card,"April 03, 2021",6.5.5,4.0 and up
Magic Converter 8,COMMUNICATION,4.8,243061,96M,100000000+,Free,0.0,Everyone 10+,Arcade,"April 04, 2021",7.2.5,5.0 and up
Premium Scanner 1,EDUCATION,1.5,157557,22M,1000+,Paid,0.0,Mature 17+,Action,"October 11, 2021",3.6.6,4.0 and up
Simple Editor 1,FINANCE,1.4,412114,68M,10000+,Paid,19.99,Everyone 10+,Educational,"February 14, 2021",8.1.8,6.0 and up
Smart Assistant 3,EDUCATION,3.6,568030,69M,100000000+,Free,0.0,Everyone 10+,Arcade,"December 17, 2021",5.8.9,5.0 and up
Ultimate Notes 8,HEALTH_AND_FITNESS,4.8,736993,37M,100000+,Free,9.99,Adults only 18+,Adventure,"December 26, 2021",5.6.8,8.0 and up
Magic Wallet 7,TOOLS,4.2,308459,49M,10000+,Free,0.0,Everyone,Word,"December 01, 2021",4.1.8,7.0 and up
Premium Messenger 8,PERSONALIZATION,1.3,701407,13M,10000000+,Free,29.99,Adults only 18+,Action,"August 02, 2021",2.2.9,8.0 and up
Fantastic Browser 3,PHOTOGRAPHY,2.1,533644,34M,10000+,Free,0.0,Adults only 18+,Board,"December 26, 2021",2.2.5,8.0 and up
HD Wallet 2,PRODUCTIVITY,4.7,787029,86M,10000000+,Free,0.0,Everyone 10+,Sports,"May 16, 2021",3.9.7,7.0 and up
Simple Camera 3,HEALTH_AND_FITNESS,2.0,12773,53M,100000000+,Free,0.0,Everyone 10+,Educational,"April 08, 2021",6.6.0,7.0 and up
Fantastic Converter 9,PHOTOGRAPHY,4.1,190247,87M,10000000+,Free,29.99,Mature 17+,Sports,"February 10, 2021",3.2.1,9.0 and up
Easy Player 7,ENTERTAINMENT,4.3,762851,51M,100000000+,Free,0.0,Mature 17+,Arcade,"September 23, 2021",7.8.3,7.0 and up
Quick Assistant 7,GAME,3.0,856057,3M,100000000+,Paid,0.0,Adults only 18+,Strategy,"July 17, 2021",5.2.8,5.0 and up
Magic Monitor 9,LIFESTYLE,2.5,429342,42M,100000000+,Paid,0.0,Teen,Action,"December 02, 2021",4.4.0,4.0 and up
Super Recorder 4,COMMUNICATION,2.8,645285,98M,100000000+,Free,0.99,Teen,Board,"April 20, 2021",2.8.1,9.0 and up
Quick Editor 3,DATING,1.9,216833,32M,100000000+,Paid,0.0,Mature 17+,Puzzle,"November 14, 2021",5.7.2,9.0 and up
Quick Recorder 2,SHOPPING,4.6,91363,51M,10000+,Paid,49.99,Teen,Sports,"March 23, 2021",6.3.6,4.0 and up
HD Editor 6,TOOLS,2.8,221383,85M,100000000+,Free,0.0,Mature 17+,Action,"December 08, 2021",3.5.9,9.0 and up
Amazing Converter 8,MEDICAL,4.5,357802,46M,10000+,Free,0.0,Everyone 10+,Simulation,"February 04, 2021",9.9.0,7.0 and up
Smart Assistant 3,COMMUNICATION,1.4,549854,21M,100000000+,Free,0.0,Adults only 18+,Strategy,"March 02, 2021",3.1.7,8.0 and up
Simple Planner 5,SHOPPING,5.0,845484,44M,10000000+,Paid,19.99,Everyone,Role Playing,"December 14, 2021",7.1.5,6.0 and up
Magic Notes 2,EDUCATION,2.8,542397,11M,100000000+,Paid,0.0,Adults only 18+,Adventure,"June 13, 2021",3.7.9,7.0 and up
Best Recorder 6,DATING,1.2,371243,68M,100000+,Free,49.99,Mature 17+,Puzzle,"April 22, 2021",3.9.8,8.0 and up
Cool Calculator 5,HEALTH_AND_FITNESS,1.2,176178,1M,100000000+,Free,0.0,Mature 17+,Word,"February 12, 2021",1.4.2,8.0 and up
Magic Camera 6,PERSONALIZATION,4.0,727356,92M,100000000+,Free,0.0,Adults only 18+,Adventure,"April 27, 2021",6.9.1,9.0 and up
Easy Translator 4,MEDICAL,3.6,668600,63M,10000000+,Free,0.0,Mature 17+,Sports,"June 21, 2021",9.5.6,5.0 and up
Premium Scanner 8,FAMILY,4.2,422235,24M,1000000+,Free,0.0,Teen,Arcade,"March 08, 2021",5.8.0,5.0 and up
Easy Planner 7,MEDICAL,1.4,202051,99M,10000000+,Paid,1.99,Teen,Casual,"July 16, 2021",5.9.5,9.0 and up
Fantastic Compass 8,FAMILY,1.1,33876,13M,100000+,Free,4.99,Mature 17+,Arcade,"March 06, 2021",7.3.0,9.0 and up
Cool Editor 8,ENTERTAINMENT,3.0,105410,98M,1000000+,Paid,0.99,Mature 17+,Puzzle,"April 27, 2021",8.9.3,4.0 and up
HD Camera 2,FAMILY,2.6,870688,11M,1000+,Paid,1.99,Teen,Word,"May 11, 2021",3.6.1,4.0 and up
Awesome Scanner 4,MEDICAL,2.8,339129,51M,1000+,Paid,0.0,Mature 17+,Casino,"May 16, 2021",8.5.6,6.0 and up
HD Camera 6,FINANCE,5.0,435081,17M,100000+,Free,0.0,Mature 17+,Arcade,"July 27, 2021",5.8.4,6.0 and up
Super Camera 3,LIFESTYLE,4.9,343711,99M,10000000+,Free,1.99,Adults only 18+,Puzzle,"May 11, 2021",5.2.0,6.0 and up
Premium Messenger 8,PRODUCTIVITY,4.8,137498,82M,10000+,Free,0.0,Everyone,Action,"March 26, 2021",2.7.0,6.0 and up
Simple Compass 5,HEALTH_AND_FITNESS,4.1,596814,86M,100000+,Free,19.99,Teen,Racing,"May 23, 2021",7.4.2,8.0 and up
Magic Editor 3,HEALTH_AND_FITNESS,2.4,186997,24M,1000000+,Free,2.99,Adults only 18+,Arcade,"May 05, 2021",7.8.1,8.0 and up
Awesome Calculator 4,COMMUNICATION,2.6,411284,19M,1000000+,Free,0.0,Everyone,Action,"September 15, 2021",8.8.2,4.0 and up
Super Monitor 1,PHOTOGRAPHY,3.2,994151,37M,100000000+,Free,2.99,Mature 17+,Adventure,"March 06, 2021",2.6.4,5.0 and up
Simple Wallet 6,SOCIAL,4.3,433944,85M,1000+,Free,0.0,Mature 17+,Word,"January 26, 2021",5.9.4,9.0 and up
Cool Scanner 4,EDUCATION,1.3,294756,8M,1000000+,Free,0.0,Adults only 18+,Simulation,"May 08, 2021",4.4.3,5.0 and up
Ultimate Scanner 3,BUSINESS,2.7,467884,28M,100000+,Free,0.0,Mature 17+,Educational,"May 25, 2021",6.3.1,7.0 and up
Super Camera 2,ENTERTAINMENT,1.3,471338,5M,1000000+,Paid,0.0,Everyone 10+,Casual,"November 06, 2021",9.1.8,8.0 and up
Smart Cleaner 5,GAME,3.1,189149,17M,100000+,Paid,0.0,Adults only 18+,Adventure,"August 10, 2021",6.8.8,6.0 and up
Easy Cleaner 2,PHOTOGRAPHY,4.6,158598,36M,10000+,Free,0.0,Everyone,Adventure,"August 03, 2021",3.0.0,6.0 and up
Ultimate Manager 2,BUSINESS,4.1,653593,19M,100000000+,Free,49.99,Adults only 18+,Puzzle,"July 14, 2021",3.4.2,7.0 and up
Awesome Calculator 5,MEDICAL,1.9,612267,64M,1000+,Free,0.99,Teen,Sports,"July 14, 2021",9.8.2,5.0 and up
Quick Assistant 9,NEWS_AND_MAGAZINES,4.9,656459,91M,1000000+,Free,0.0,Adults only 18+,Sports,"October 12, 2021",3.4.1,6.0 and up
Best Converter 8,PRODUCTIVITY,3.7,954860,98M,100000+,Free,0.0,Mature 17+,Casino,"June 12, 2021",6.6.8,5.0 and up
Magic Tracker 1,COMMUNICATION,1.0,205745,11M,10000000+,Paid,2.99,Mature 17+,Card,"July 14, 2021",6.2.4,9.0 and up
Cool Monitor 2,TRAVEL_AND_LOCAL,2.0,665857,54M,1000+,Free,0.0,Everyone 10+,Racing,"February 09, 2021",4.4.7,7.0 and up
Premium Scanner 9,TRAVEL_AND_LOCAL,2.0,262309,45M,10000+,Free,0.0,Everyone 10+,Casino,"October 26, 2021",8.5.0,5.0 and up
Amazing Monitor 3,FAMILY,1.3,123960,47M,100000+,Free,0.0,Everyone 10+,Word,"January 17, 2021",8.7.1,9.0 and up
Fantastic Calculator 8,TOOLS,4.8,329648,12M,100000000+,Free,0.0,Everyone,Puzzle,"March 19, 2021",4.1.3,5.0 and up
Perfect Manager 9,TOOLS,2.9,600527,21M,100000000+,Free,0.0,Everyone 10+,Word,"January 12, 2021",7.8.7,5.0 and up
Cool Wallet 3,FINANCE,4.6,104658,11M,10000+,Free,1.99,Everyone,Role Playing,"July 04, 2021",9.7.1,6.0 and up
Cool Player 5,SOCIAL,2.3,38557,92M,10000+,Free,0.0,Everyone 10+,Casual,"October 13, 2021",7.1.1,4.0 and up
Fantastic Wallet 4,PERSONALIZATION,1.5,553093,5M,100000000+,Free,0.0,Everyone,Trivia,"February 10, 2021",4.0.4,8.0 and up
Quick Recorder 9,ENTERTAINMENT,2.9,186378,81M,1000000+,Free,0.0,Adults only 18+,Racing,"May 22, 2021",6.8.9,5.0 and up
Amazing Manager 8,TRAVEL_AND_LOCAL,1.5,545745,56M,1000000+,Free,0.0,Adults only 18+,Racing,"September 04, 2021",8.1.0,5.0 and up
Easy Manager 3,LIFESTYLE,2.9,691968,20M,100000+,Free,0.0,Mature 17+,Strategy,"February 05, 2021",2.6.3,5.0 and up
Ultimate Camera 1,SHOPPING,4.7,959328,41M,10000000+,Paid,2.99,Everyone,Puzzle,"March 02, 2021",5.6.2,4.0 and up
Easy Converter 1,FAMILY,3.1,746121,46M,100000+,Free,9.99,Teen,Board,"December 17, 2021",2.6.4,9.0 and up
Quick Assistant 1,LIFESTYLE,3.5,256200,12M,10000000+,Free,0.0,Mature 17+,Adventure,"October 02, 2021",1.0.8,7.0 and up
HD Messenger 5,FINANCE,1.6,206412,70M,10000+,Free,2.99,Adults only 18+,Simulation,"June 08, 2021",5.0.6,6.0 and up
Smart Manager 3,DATING,1.2,252429,17M,1000+,Free,1.99,Everyone,Educational,"March 11, 2021",9.0.9,4.0 and up
Easy Compass 6,FAMILY,1.4,754115,19M,100000+,Free,49.99,Everyone 10+,Board,"September 12, 2021",4.2.4,9.0 and up
Magic Tracker 7,PHOTOGRAPHY,3.4,874402,26M,100000+,Free,0.0,Teen,Sports,"September 02, 2021",7.7.1,5.0 and up
Fantastic Manager 4,TOOLS,1.4,849720,48M,10000000+,Paid,0.0,Adults only 18+,Puzzle,"August 26, 2021",7.0.6,9.0 and up
HD Converter 1,TOOLS,2.5,579375,52M,10000+,Free,0.0,Mature 17+,Trivia,"November 21, 2021",8.1.8,4.0 and up
Awesome Browser 4,GAME,3.2,112792,96M,10000+,Free,0.0,Everyone,Trivia,"April 10, 2021",1.5.0,4.0 and up
Ultimate Camera 9,BUSINESS,2.6,627230,70M,10000000+,Free,0.0,Teen,Board,"May 20, 2021",3.5.2,4.0 and up
Super Player 7,COMMUNICATION,1.7,989420,55M,10000+,Paid,0.0,Everyone,Trivia,"August 04, 2021",8.4.1,7.0 and up
Super Editor 6,MEDICAL,2.1,927042,75M,100000000+,Free,19.99,Everyone 10+,Educational,"October 12, 2021",4.8.3,8.0 and up
Amazing Cleaner 5,SOCIAL,4.7,443326,33M,1000000+,Free,0.99,Mature 17+,Puzzle,"June 18, 2021",8.4.9,6.0 and up
Best Cleaner 1,ENTERTAINMENT,3.7,372023,62M,100000000+,Free,4.99,Everyone,Sports,"May 22, 2021",1.6.2,7.0 and up
Magic Camera 4,SPORTS,3.0,925693,88M,1000+,Free,0.0,Adults only 18+,Puzzle,"May 12, 2021",8.2.0,7.0 and up
Ultimate Notes 8,PRODUCTIVITY,1.1,310935,23M,100000+,Free,0.0,Mature 17+,Racing,"February 07, 2021",5.1.3,8.0 and up
HD Manager 5,PHOTOGRAPHY,5.0,186349,15M,1000+,Free,0.0,Adults only 18+,Board,"April 24, 2021",1.8.5,7.0 and up
Ultimate Converter 4,TRAVEL_AND_LOCAL,3.7,475605,27M,100000+,Free,0.0,Everyone,Action,"July 07, 2021",8.3.8,4.0 and up
Pro Recorder 2,NEWS_AND_MAGAZINES,2.3,417178,75M,1000000+,Free,0.0,Mature 17+,Word,"September 01, 2021",2.8.4,4.0 and up
Best Compass 3,PRODUCTIVITY,4.5,840240,64M,10000+,Free,0.0,Adults only 18+,Trivia,"October 06, 2021",6.2.3,9.0 and up
Awesome Editor 5,PRODUCTIVITY,2.0,98706,81M,100000000+,Free,0.0,Everyone 10+,Arcade,"June 22, 2021",6.6.0,5.0 and up
Awesome Scanner 8,COMMUNICATION,3.2,503660,51M,10000000+,Paid,2.99,Everyone 10+,Puzzle,"December 22, 2021",7.0.4,7.0 and up
Magic Camera 8,PERSONALIZATION,3.5,50949,53M,100000000+,Free,0.0,Everyone,Board,"December 10, 2021",6.1.9,5.0 and up
Easy Converter 8,GAME,1.9,815958,78M,1000000+,Free,29.99,Mature 17+,Card,"July 26, 2021",9.9.5,6.0 and up
Premium Analyzer 9,TOOLS,4.9,711896,91M,1000+,Free,0.0,Teen,Casual,"June 17, 2021",7.9.7,4.0 and up
Super Converter 8,SHOPPING,4.0,141531,82M,10000000+,Free,0.0,Mature 17+,Card,"March 18, 2021",1.7.3,9.0 and up
Pro Scanner 4,BUSINESS,3.2,574588,92M,10000+,Paid,0.0,Everyone 10+,Board,"June 24, 2021",8.5.8,6.0 and up
Perfect Editor 5,SPORTS,1.7,913130,51M,1000000+,Free,0.0,Adults only 18+,Trivia,"March 10, 2021",4.1.1,9.0 and up
Smart Player 8,COMMUNICATION,1.2,873103,47M,10000000+,Free,0.0,Teen,Adventure,"August 08, 2021",5.9.8,8.0 and up
HD Cleaner 1,GAME,2.3,335108,4M,1000000+,Free,0.0,Everyone,Trivia,"May 24, 2021",3.7.3,4.0 and up
Pro Planner 6,SHOPPING,4.0,809188,7M,1000000+,Free,0.0,Teen,Adventure,"June 21, 2021",6.9.5,6.0 and up
Fantastic Wallet 8,SPORTS,2.1,592288,35M,10000+,Free,0.0,Everyone,Sports,"September 07, 2021",3.4.2,8.0 and up
Quick Scanner 7,TOOLS,3.2,583108,48M,100000+,Free,0.0,Teen,Sports,"August 01, 2021",1.6.3,6.0 and up
Super Wallet 5,ENTERTAINMENT,3.9,642660,73M,10000000+,Free,29.99,Everyone,Board,"November 18, 2021",7.2.4,9.0 and up
Cool Wallet 4,TOOLS,1.4,476523,72M,10000+,Paid,0.0,Everyone,Racing,"August 25, 2021",5.1.9,8.0 and up
Magic Calculator 6,COMMUNICATION,3.7,146305,45M,1000000+,Free,49.99,Teen,Sports,"April 12, 2021",2.3.3,8.0 and up
Easy Compass 8,TOOLS,1.4,465463,81M,10000+,Paid,0.0,Teen,Racing,"October 27, 2021",4.5.1,4.0 and up
HD Converter 9,DATING,4.9,657967,81M,100000+,Paid,1.99,Everyone,Sports,"October 14, 2021",6.6.9,5.0 and up
Cool Planner 4,DATING,3.0,721047,97M,100000000+,Paid,4.99,Everyone 10+,Trivia,"September 20, 2021",3.7.1,9.0 and up
Quick Planner 3,COMMUNICATION,1.6,264813,96M,10000000+,Free,0.0,Teen,Puzzle,"October 10, 2021",8.4.1,9.0 and up
HD Notes 9,ENTERTAINMENT,2.4,86526,72M,100000+,Free,0.0,Mature 17+,Educational,"October 25, 2021",7.1.5,8.0 and up
Simple Scanner 6,ENTERTAINMENT,2.7,74577,19M,1000+,Paid,4.99,Adults only 18+,Arcade,"November 23, 2021",3.8.2,8.0 and up
Amazing Browser 2,FINANCE,4.0,801479,63M,10000000+,Free,0.0,Everyone,Word,"February 25, 2021",3.4.6,4.0 and up
Best Messenger 1,COMMUNICATION,4.0,126508,38M,100000+,Free,0.0,Everyone,Trivia,"April 08, 2021",8.6.8,5.0 and up
Perfect Scanner 3,SHOPPING,3.4,702108,67M,1000000+,Paid,0.0,Adults only 18+,Strategy,"July 07, 2021",5.9.2,9.0 and up
Magic Browser 4,EDUCATION,1.4,464904,59M,10000000+,Paid,9.99,Everyone 10+,Word,"August 01, 2021",6.4.3,7.0 and up
Magic Calculator 1,TRAVEL_AND_LOCAL,1.6,536407,69M,10000000+,Free,4.99,Adults only 18+,Puzzle,"May 02, 2021",2.6.4,7.0 and up
Ultimate Scanner 6,FAMILY,1.4,284164,13M,10000+,Free,0.0,Teen,Strategy,"February 15, 2021",4.7.8,5.0 and up
Simple Analyzer 5,PERSONALIZATION,3.3,795229,47M,1000000+,Free,0.0,Adults only 18+,Card,"January 05, 2021",9.2.2,6.0 and up
Super Browser 1,TOOLS,4.5,763770,61M,1000+,Paid,0.0,Everyone,Role Playing,"February 20, 2021",5.4.9,4.0 and up
Awesome Planner 1,SHOPPING,2.7,139554,31M,100000000+,Paid,0.0,Adults only 18+,Arcade,"March 19, 2021",2.0.7,5.0 and up
Awesome Manager 1,GAME,1.6,246193,80M,100000+,Free,29.99,Mature 17+,Card,"February 22, 2021",3.0.0,7.0 and up
Easy Calculator 7,PHOTOGRAPHY,3.2,678753,96M,10000+,Free,0.0,Teen,Sports,"February 14, 2021",2.5.5,8.0 and up
Fantastic Compass 1,FINANCE,4.2,323863,22M,100000+,Paid,0.0,Adults only 18+,Racing,"August 08, 2021",3.3.1,7.0 and up
Ultimate Translator 8,TOOLS,4.0,463011,93M,1000+,Free,0.0,Everyone,Sports,"December 21, 2021",2.6.0,8.0 and up
Fantastic Analyzer 1,TOOLS,4.5,768623,86M,1000+,Free,19.99,Teen,Board,"October 23, 2021",7.0.5,4.0 and up
Premium Compass 2,GAME,2.1,34528,43M,10000000+,Paid,0.0,Everyone,Educational,"April 17, 2021",3.7.5,8.0 and up
